MeasureTime,Fan-1,Fan-2,T-inside,T_fan_input,T-outside,Front_fan_pipe,T-soil-surface,T-soil-deep,Radiation-outside,Radiation-inside,SunRay/100,Temperature difference,Conduction HeatLoss,Solar Power
1/1/2023 17:30,0.33,25.7,1.1,1.8,-25.9,0.6,3.2,2.5,2.21,1.75,0.0175,-27,-1452.570757,87.5
1/1/2023 17:31,0.2,30.7,1,1.8,-25.8,0.5,3.3,2.3,2.1,1.75,0.0175,-26.8,-1441.810974,87.5
1/1/2023 17:32,-0.2,20.4,1,1.8,-25.8,0.5,2.7,2.3,2,1.65,0.0165,-26.8,-1441.810974,82.5
1/1/2023 17:33,-0.47,27.3,0.9,1.8,-26.1,0.5,2.5,2.3,1.89,1.54,0.0154,-27,-1452.570757,77
1/1/2023 17:34,0.73,25.2,0.8,1.7,-26.1,0.5,2.5,2.4,1.79,1.54,0.0154,-26.9,-1447.190865,77
1/1/2023 17:35,1.33,27,0.7,1.6,-26,0.5,2.4,2.4,1.68,1.44,0.0144,-26.7,-1436.431082,72
1/1/2023 17:36,1.33,26.1,0.5,1.5,-26.1,0.4,2.3,2.3,1.58,1.44,0.0144,-26.6,-1431.05119,72
1/1/2023 17:37,1.33,25.2,0.4,1.4,-26.2,0.4,2.3,2.4,1.47,1.44,0.0144,-26.6,-1431.05119,72
1/1/2023 17:38,1.33,31.6,0.3,1.3,-26.1,0.2,2.2,2.3,1.47,1.34,0.0134,-26.4,-1420.291407,67
1/1/2023 17:39,1.26,26.8,0.2,1.2,-26.1,0.2,2.2,2.3,1.37,1.34,0.0134,-26.3,-1414.911515,67
1/1/2023 17:40,1.26,22.5,0.2,1.2,-26.4,0.3,2.3,2.3,1.26,1.23,0.0123,-26.6,-1431.05119,61.5
1/1/2023 17:41,1.4,32.4,0.2,1.1,-26.2,0.3,2.2,2.4,1.26,1.23,0.0123,-26.4,-1420.291407,61.5
1/1/2023 17:42,1.26,30.2,0.2,1.1,-26,0.3,2.3,2.4,1.26,1.23,0.0123,-26.2,-1409.531623,61.5
1/1/2023 17:43,1.2,29.8,0.2,1.1,-26.2,0.3,2.3,2.4,1.26,1.13,0.0113,-26.4,-1420.291407,56.5
1/1/2023 17:44,1.26,22.8,0,1.1,-26.6,0.2,2.2,2.4,1.26,1.23,0.0123,-26.6,-1431.05119,61.5
1/1/2023 17:45,1.26,28.3,0,1,-26.6,0,2.2,2.4,1.26,1.23,0.0123,-26.6,-1431.05119,61.5
1/1/2023 17:46,1.26,30.9,0,0.9,-26.1,0,2.1,2.4,1.16,1.23,0.0123,-26.1,-1404.151732,61.5
1/1/2023 17:47,1.26,25,-0.1,0.9,-26,0,2.1,2.4,1.16,1.13,0.0113,-25.9,-1393.391948,56.5
